2026-07-23 11:37:40,733 | INFO | Merge completed successfully.
2026-07-24 16:20:09,436 | INFO | Detected encoding ascii
2026-07-24 16:20:09,614 | INFO | Loaded historical_data.csv
2026-07-24 16:20:09,615 | INFO | Detected encoding ascii
2026-07-24 16:20:09,616 | INFO | Loaded fear_greed_index.csv
2026-07-24 16:20:09,801 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 16:20:09,837 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 16:20:10,595 | INFO | Cleaned datasets saved.
2026-07-24 16:20:11,520 | INFO | Merge completed successfully.
2026-07-24 16:23:02,952 | INFO | Detected encoding ascii
2026-07-24 16:23:03,123 | INFO | Loaded historical_data.csv
2026-07-24 16:23:03,124 | INFO | Detected encoding ascii
2026-07-24 16:23:03,125 | INFO | Loaded fear_greed_index.csv
2026-07-24 16:23:03,308 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 16:23:03,337 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 16:23:04,090 | INFO | Cleaned datasets saved.
2026-07-24 16:23:04,993 | INFO | Merge completed successfully.
2026-07-24 16:25:30,207 | INFO | Detected encoding ascii
2026-07-24 16:25:30,380 | INFO | Loaded historical_data.csv
2026-07-24 16:25:30,381 | INFO | Detected encoding ascii
2026-07-24 16:25:30,382 | INFO | Loaded fear_greed_index.csv
2026-07-24 16:25:30,564 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 16:25:30,593 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 16:25:31,353 | INFO | Cleaned datasets saved.
2026-07-24 16:25:32,260 | INFO | Merge completed successfully.
2026-07-24 16:28:39,644 | INFO | Detected encoding ascii
2026-07-24 16:28:39,822 | INFO | Loaded historical_data.csv
2026-07-24 16:28:39,823 | INFO | Detected encoding ascii
2026-07-24 16:28:39,824 | INFO | Loaded fear_greed_index.csv
2026-07-24 16:28:40,011 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 16:28:40,043 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 16:28:40,823 | INFO | Cleaned datasets saved.
2026-07-24 16:28:41,775 | INFO | Merge completed successfully.
2026-07-24 16:34:41,866 | INFO | Detected encoding ascii
2026-07-24 16:34:42,048 | INFO | Loaded historical_data.csv
2026-07-24 16:34:42,049 | INFO | Detected encoding ascii
2026-07-24 16:34:42,050 | INFO | Loaded fear_greed_index.csv
2026-07-24 16:34:42,231 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 16:34:42,261 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 16:34:43,047 | INFO | Cleaned datasets saved.
2026-07-24 16:34:43,965 | INFO | Merge completed successfully.
2026-07-24 16:37:10,571 | INFO | Detected encoding ascii
2026-07-24 16:37:10,748 | INFO | Loaded historical_data.csv
2026-07-24 16:37:10,749 | INFO | Detected encoding ascii
2026-07-24 16:37:10,750 | INFO | Loaded fear_greed_index.csv
2026-07-24 16:37:10,930 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 16:37:10,961 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 16:37:11,727 | INFO | Cleaned datasets saved.
2026-07-24 16:37:12,635 | INFO | Merge completed successfully.
2026-07-24 16:41:48,082 | INFO | Detected encoding ascii
2026-07-24 16:41:48,265 | INFO | Loaded historical_data.csv
2026-07-24 16:41:48,266 | INFO | Detected encoding ascii
2026-07-24 16:41:48,267 | INFO | Loaded fear_greed_index.csv
2026-07-24 16:41:48,450 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 16:41:48,479 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 16:41:49,245 | INFO | Cleaned datasets saved.
2026-07-24 16:41:50,186 | INFO | Merge completed successfully.
2026-07-24 16:47:52,122 | INFO | Detected encoding ascii
2026-07-24 16:47:52,306 | INFO | Loaded historical_data.csv
2026-07-24 16:47:52,307 | INFO | Detected encoding ascii
2026-07-24 16:47:52,308 | INFO | Loaded fear_greed_index.csv
2026-07-24 16:47:52,488 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 16:47:52,518 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 16:47:53,282 | INFO | Cleaned datasets saved.
2026-07-24 16:47:54,222 | INFO | Merge completed successfully.
2026-07-24 16:54:46,642 | INFO | Detected encoding ascii
2026-07-24 16:54:46,814 | INFO | Loaded historical_data.csv
2026-07-24 16:54:46,815 | INFO | Detected encoding ascii
2026-07-24 16:54:46,816 | INFO | Loaded fear_greed_index.csv
2026-07-24 16:54:47,004 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 16:54:47,034 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 16:54:47,778 | INFO | Cleaned datasets saved.
2026-07-24 16:54:48,671 | INFO | Merge completed successfully.
2026-07-24 16:58:10,154 | INFO | Detected encoding ascii
2026-07-24 16:58:10,327 | INFO | Loaded historical_data.csv
2026-07-24 16:58:10,328 | INFO | Detected encoding ascii
2026-07-24 16:58:10,329 | INFO | Loaded fear_greed_index.csv
2026-07-24 16:58:10,516 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 16:58:10,545 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 16:58:11,329 | INFO | Cleaned datasets saved.
2026-07-24 16:58:12,266 | INFO | Merge completed successfully.
2026-07-24 17:05:01,911 | INFO | Detected encoding ascii
2026-07-24 17:05:02,092 | INFO | Loaded historical_data.csv
2026-07-24 17:05:02,093 | INFO | Detected encoding ascii
2026-07-24 17:05:02,094 | INFO | Loaded fear_greed_index.csv
2026-07-24 17:05:02,290 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 17:05:02,323 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 17:05:03,101 | INFO | Cleaned datasets saved.
2026-07-24 17:05:04,043 | INFO | Merge completed successfully.
2026-07-24 17:45:10,012 | INFO | Detected encoding ascii
2026-07-24 17:45:10,218 | INFO | Loaded historical_data.csv
2026-07-24 17:45:10,219 | INFO | Detected encoding ascii
2026-07-24 17:45:10,220 | INFO | Loaded fear_greed_index.csv
2026-07-24 17:45:10,325 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 17:45:10,343 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 17:45:11,111 | INFO | Cleaned datasets saved.
2026-07-24 17:45:12,030 | INFO | Merge completed successfully.
2026-07-24 17:49:01,812 | INFO | Detected encoding ascii
2026-07-24 17:49:02,008 | INFO | Loaded historical_data.csv
2026-07-24 17:49:02,009 | INFO | Detected encoding ascii
2026-07-24 17:49:02,010 | INFO | Loaded fear_greed_index.csv
2026-07-24 17:49:02,120 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 17:49:02,139 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 17:49:02,915 | INFO | Cleaned datasets saved.
2026-07-24 17:49:03,841 | INFO | Merge completed successfully.
2026-07-24 17:49:57,013 | INFO | Detected encoding ascii
2026-07-24 17:49:57,235 | INFO | Loaded historical_data.csv
2026-07-24 17:49:57,236 | INFO | Detected encoding ascii
2026-07-24 17:49:57,237 | INFO | Loaded fear_greed_index.csv
2026-07-24 17:49:57,330 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 17:49:57,345 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 17:49:58,131 | INFO | Cleaned datasets saved.
2026-07-24 17:49:59,045 | INFO | Merge completed successfully.
2026-07-24 17:55:41,807 | INFO | Detected encoding ascii
2026-07-24 17:55:42,012 | INFO | Loaded historical_data.csv
2026-07-24 17:55:42,013 | INFO | Detected encoding ascii
2026-07-24 17:55:42,014 | INFO | Loaded fear_greed_index.csv
2026-07-24 17:55:42,131 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 17:55:42,146 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 17:55:42,952 | INFO | Cleaned datasets saved.
2026-07-24 17:55:43,853 | INFO | Merge completed successfully.
2026-07-24 17:59:18,782 | INFO | Detected encoding ascii
2026-07-24 17:59:18,994 | INFO | Loaded historical_data.csv
2026-07-24 17:59:18,995 | INFO | Detected encoding ascii
2026-07-24 17:59:18,996 | INFO | Loaded fear_greed_index.csv
2026-07-24 17:59:19,097 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 17:59:19,116 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 17:59:19,915 | INFO | Cleaned datasets saved.
2026-07-24 17:59:20,909 | INFO | Merge completed successfully.
2026-07-24 18:07:17,280 | INFO | Detected encoding ascii
2026-07-24 18:07:17,568 | INFO | Loaded historical_data.csv
2026-07-24 18:07:17,569 | INFO | Detected encoding ascii
2026-07-24 18:07:17,570 | INFO | Loaded fear_greed_index.csv
2026-07-24 18:07:17,714 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 18:07:17,741 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 18:07:18,628 | INFO | Cleaned datasets saved.
2026-07-24 18:07:19,608 | INFO | Merge completed successfully.
2026-07-24 18:10:52,549 | INFO | Detected encoding ascii
2026-07-24 18:10:52,755 | INFO | Loaded historical_data.csv
2026-07-24 18:10:52,756 | INFO | Detected encoding ascii
2026-07-24 18:10:52,757 | INFO | Loaded fear_greed_index.csv
2026-07-24 18:10:52,864 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 18:10:52,887 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 18:10:53,672 | INFO | Cleaned datasets saved.
2026-07-24 18:10:54,586 | INFO | Merge completed successfully.
2026-07-24 18:13:33,776 | INFO | Detected encoding ascii
2026-07-24 18:13:33,983 | INFO | Loaded historical_data.csv
2026-07-24 18:13:33,984 | INFO | Detected encoding ascii
2026-07-24 18:13:33,985 | INFO | Loaded fear_greed_index.csv
2026-07-24 18:13:34,086 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 18:13:34,103 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 18:13:34,867 | INFO | Cleaned datasets saved.
2026-07-24 18:13:35,774 | INFO | Merge completed successfully.
2026-07-24 18:19:15,513 | INFO | Detected encoding ascii
2026-07-24 18:19:15,700 | INFO | Loaded historical_data.csv
2026-07-24 18:19:15,701 | INFO | Detected encoding ascii
2026-07-24 18:19:15,702 | INFO | Loaded fear_greed_index.csv
2026-07-24 18:19:15,809 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 18:19:15,824 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 18:19:16,612 | INFO | Cleaned datasets saved.
2026-07-24 18:19:17,556 | INFO | Merge completed successfully.
2026-07-24 18:26:39,285 | INFO | Detected encoding ascii
2026-07-24 18:26:39,479 | INFO | Loaded historical_data.csv
2026-07-24 18:26:39,480 | INFO | Detected encoding ascii
2026-07-24 18:26:39,481 | INFO | Loaded fear_greed_index.csv
2026-07-24 18:26:39,576 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 18:26:39,590 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 18:26:40,396 | INFO | Cleaned datasets saved.
2026-07-24 18:26:41,323 | INFO | Merge completed successfully.
2026-07-24 18:29:07,963 | INFO | Detected encoding ascii
2026-07-24 18:29:08,183 | INFO | Loaded historical_data.csv
2026-07-24 18:29:08,184 | INFO | Detected encoding ascii
2026-07-24 18:29:08,185 | INFO | Loaded fear_greed_index.csv
2026-07-24 18:29:08,295 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-24 18:29:08,311 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-24 18:29:09,103 | INFO | Cleaned datasets saved.
2026-07-24 18:29:10,025 | INFO | Merge completed successfully.
2026-07-24 18:38:49,848 | INFO | Detected encoding ascii
2026-07-24 18:38:50,061 | INFO | Loaded historical_data.csv
2026-07-24 18:38:50,061 | INFO | Detected encoding ascii
2026-07-24 18:38:50,063 | INFO | Loaded fear_greed_index.csv
